"filename", "language", "JSON", "JavaScript", "comment", "blank", "total"
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\navigation\SearchStack.js", "JavaScript", 0, 34, 2, 3, 39
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\navigation\WorkoutStack.js", "JavaScript", 0, 63, 0, 3, 66
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\repos\trainingProgramsRepository.js", "JavaScript", 0, 207, 5, 39, 251
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\repos\weightRepository.js", "JavaScript", 0, 26, 0, 5, 31
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\repos\workoutRepository.js", "JavaScript", 0, 149, 3, 38, 190
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\AddExerciseScreen.js", "JavaScript", 0, 219, 1, 28, 248
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\AddNewProgramScreen.js", "JavaScript", 0, 66, 5, 10, 81
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\AddProgramDayScreen.js", "JavaScript", 0, 99, 8, 14, 121
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\BodyMeasurementsScreen.js", "JavaScript", 0, 218, 1, 31, 250
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\ExerciseDetailsScreen.js", "JavaScript", 0, 66, 2, 6, 74
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\ExerciseSearchScreen.js", "JavaScript", 0, 145, 8, 16, 169
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\PersonalRecordsScreen.js", "JavaScript", 0, 49, 0, 7, 56
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\ProfileScreen.js", "JavaScript", 0, 59, 0, 6, 65
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\ProgramDayDetailsScreen.js", "JavaScript", 0, 43, 0, 4, 47
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\ProgramDetailsScreen.js", "JavaScript", 0, 70, 0, 7, 77
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\WorkoutCalendarScreen.js", "JavaScript", 0, 77, 2, 16, 95
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\WorkoutDetailsScreen.js", "JavaScript", 0, 48, 0, 4, 52
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\WorkoutPlanningScreen.js", "JavaScript", 0, 124, 7, 9, 140
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\WorkoutScreen.js", "JavaScript", 0, 285, 1, 46, 332
"c:\Users\Admin\Desktop\GymTrackingApp\GymTracker\src\screens\WorkoutSummaryScreen.js", "JavaScript", 0, 148, 1, 16, 165
"Total", "-", 10045, 4999, 117, 664, 15825
